INSERT INTO reserva (ID_RESERVA, ID_USUARIO, ID_EQUIPO, FECHA_INI, FECHA_FIN, ESTADO) VALUES
(1, 7025, 254, '2023-05-27 15:00:00', '2023-05-27 16:00:00', 1),
(2, 5716, 17, '2023-10-05 15:00:00', '2023-10-05 16:00:00', 1),
(3, 7736, 14, '2023-12-19 14:00:00', '2023-12-19 15:00:00', 1),
(4, 8969, 26, '2023-11-27 08:00:00', '2023-11-27 09:00:00', 1),
(5, 9453, 5, '2023-10-10 14:00:00', '2023-10-10 15:00:00', 1),
(6, 6590, 24, '2023-11-30 17:00:00', '2023-11-30 18:00:00', 1),
(7, 8026, 15, '2023-07-26 17:00:00', '2023-07-26 18:00:00', 1),
(8, 6658, 19, '2023-10-12 17:00:00', '2023-10-12 18:00:00', 1),
(9, 9407, 15, '2023-11-02 16:00:00', '2023-11-02 17:00:00', 1),
(10, 8285, 20, '2023-10-01 12:00:00', '2023-10-01 13:00:00', 1),
(11, 8496, 20, '2023-06-17 17:00:00', '2023-06-17 18:00:00', 1),
(12, 7220, 10, '2023-07-30 10:00:00', '2023-07-30 11:00:00', 1),
(13, 9470, 5, '2023-06-21 15:00:00', '2023-06-21 16:00:00', 1),
(14, 6926, 15, '2023-11-22 15:00:00', '2023-11-22 16:00:00', 1),
(15, 7902, 331, '2023-12-03 10:00:00', '2023-12-03 11:00:00', 1),
(16, 5276, 23, '2023-11-08 10:00:00', '2023-11-08 11:00:00', 1),
(17, 8329, 21, '2023-10-30 14:00:00', '2023-10-30 15:00:00', 1),
(18, 7167, 102, '2023-09-24 16:00:00', '2023-09-24 17:00:00', 1),
(19, 5863, 14, '2023-11-26 11:00:00', '2023-11-26 12:00:00', 1),
(20, 9877, 23, '2023-07-02 12:00:00', '2023-07-02 13:00:00', 1),
(21, 8627, 9, '2023-10-13 17:00:00', '2023-10-13 18:00:00', 1),
(22, 6389, 203, '2023-08-22 16:00:00', '2023-08-22 17:00:00', 1),
(23, 5245, 185, '2023-06-19 16:00:00', '2023-06-19 17:00:00', 1),
(24, 7289, 4, '2023-10-20 16:00:00', '2023-10-20 17:00:00', 1),
(25, 8874, 19, '2023-11-29 17:00:00', '2023-11-29 18:00:00', 1),
(26, 9551, 28, '2023-11-19 12:00:00', '2023-11-19 13:00:00', 1),
(27, 5620, 5, '2023-07-18 14:00:00', '2023-07-18 15:00:00', 1),
(28, 7674, 1, '2023-09-05 08:00:00', '2023-09-05 09:00:00', 1),
(29, 7458, 28, '2023-10-27 10:00:00', '2023-10-27 11:00:00', 1),
(30, 7862, 5, '2023-07-16 09:00:00', '2023-07-16 10:00:00', 1),
(31, 9445, 9, '2023-11-17 09:00:00', '2023-11-17 10:00:00', 1),
(32, 7778, 11, '2023-12-10 10:00:00', '2023-12-10 11:00:00', 1),
(33, 6615, 14, '2023-09-17 12:00:00', '2023-09-17 13:00:00', 1),
(34, 7556, 17, '2023-11-25 17:00:00', '2023-11-25 18:00:00', 1),
(35, 6717, 19, '2023-08-05 11:00:00', '2023-08-05 12:00:00', 1),
(36, 9173, 12, '2023-09-20 15:00:00', '2023-09-20 16:00:00', 1),
(37, 8470, 12, '2023-08-11 11:00:00', '2023-08-11 12:00:00', 1),
(38, 9253, 255, '2023-12-02 16:00:00', '2023-12-02 17:00:00', 1),
(39, 7010, 15, '2023-07-14 17:00:00', '2023-07-14 18:00:00', 1),
(40, 5876, 12, '2023-08-27 17:00:00', '2023-08-27 18:00:00', 1),
(41, 7472, 1, '2023-12-14 14:00:00', '2023-12-14 15:00:00', 1),
(42, 9658, 13, '2023-06-14 14:00:00', '2023-06-14 15:00:00', 1),
(43, 7873, 2, '2023-08-20 17:00:00', '2023-08-20 18:00:00', 1),
(44, 9542, 29, '2023-12-04 09:00:00', '2023-12-04 10:00:00', 1),
(45, 5752, 20, '2023-11-29 12:00:00', '2023-11-29 13:00:00', 1),
(46, 5449, 3, '2023-07-20 17:00:00', '2023-07-20 18:00:00', 1),
(47, 9034, 30, '2023-08-18 11:00:00', '2023-08-18 12:00:00', 1),
(48, 6753, 28, '2023-07-31 14:00:00', '2023-07-31 15:00:00', 1),
